避難所名稱,地址,縣市,設施類型,緯度,經度,最近AQI測站,測站AQI,測站狀態,距離(公里),風險等級,預計收容人數
六腳鄉老人文康中心,188號之5,嘉義縣六腳鄉,室內,23.4952,120.2931,嘉義,42,良好,15.57,Low Risk,240
春梅社區活動中心,10鄰梅子厝71-1號,嘉義縣太保市,室內,23.4952,120.3867,嘉義,42,良好,6.04,Low Risk,30
太保國小[室內],31號,嘉義縣太保市,室內,23.4952,120.3867,嘉義,42,良好,6.04,Low Risk,180
紅葉社區活動中心,1鄰9號,花蓮縣萬榮鄉,室內,23.4954,121.3446,花蓮,35,良好,41.82,Low Risk,50
南新國小[室內],10鄰中山路一段140號,嘉義縣太保市,室內,23.497,120.3845,嘉義,42,良好,6.25,Low Risk,187
南新國小[室外],10鄰中山路一段140號,嘉義縣太保市,室外,23.497,120.3845,嘉義,42,良好,6.25,Low Risk,800
花蓮縣立瑞穗國民中學,成功北路18號,花蓮縣瑞穗鄉,室內,23.4982,121.3759,花蓮,35,良好,40.06,Low Risk,200
中和國小[室內],奮起湖215號,嘉義縣竹崎鄉,室內,23.4988,120.5344,嘉義,42,良好,9.04,Low Risk,20
中和國小[戶外],奮起湖215號,嘉義縣竹崎鄉,室外,23.4988,120.5344,嘉義,42,良好,9.04,Low Risk,100
沙坑國小[戶外],8鄰水坑57之2號,嘉義縣竹崎鄉,室外,23.4988,120.5344,嘉義,42,良好,9.04,Low Risk,200
頂庄社區活動中心,義教街542巷20號,嘉義市東區,室內,23.4991,120.4577,嘉義,42,良好,1.22,Low Risk,30
水牛厝社區活動中心,4鄰仁愛路25號,嘉義縣太保市,室內,23.4992,120.3857,嘉義,42,良好,6.13,Low Risk,100
過溝社區活動中心,4鄰過溝36-5號,嘉義縣太保市,室內,23.4996,120.3599,嘉義,42,良好,8.76,Low Risk,70
瑞祥社區活動中心,4鄰祥北路二段127號,花蓮縣瑞穗鄉,室內,23.4998,121.3588,花蓮,35,良好,40.69,Low Risk,30
瑞穗社區活動中心,14鄰民生街41號,花蓮縣瑞穗鄉,室內,23.4998,121.3787,花蓮,35,良好,39.77,Low Risk,30
灣內國小-室外,15鄰6號,嘉義縣六腳鄉,室外,23.499803,120.312561,嘉義,42,良好,13.59,Low Risk,930
麻寮古恩宮集會所,13鄰中山路二段250號,嘉義縣太保市,室內,23.4999,120.3682,嘉義,42,良好,7.92,Low Risk,70
嘉新國中[室外],17鄰中興路一段250號,嘉義縣太保市,室外,23.500064,120.378286,嘉義,42,良好,6.89,Low Risk,600
後湖社區活動中心,保義路60巷40號,嘉義市東區,室內,23.5011,120.4537,嘉義,42,良好,0.87,Low Risk,25
鹿滿國小[室內],鹿滿村鹿鳴路2號,嘉義縣竹崎鄉,室內,23.5015,120.6983,嘉義,42,良好,25.75,Low Risk,60
